"region","grupa","koef_zaetost","godina"
"Общо","obshto",64,"2008"
"Северозападен","obshto",59.3,"2008"
"Видин","obshto",54.8,"2008"
"Враца","obshto",57.5,"2008"
"Ловеч","obshto",64.8,"2008"
"Монтана","obshto",58.2,"2008"
"Плевен","obshto",59.8,"2008"
"Северен централен","obshto",58.6,"2008"
"Велико Търново","obshto",58.3,"2008"
"Габрово","obshto",69.4,"2008"
"Разград","obshto",49.7,"2008"
"Русе","obshto",60.5,"2008"
"Силистра","obshto",54.6,"2008"
"Североизточен","obshto",62,"2008"
"Варна","obshto",66.8,"2008"
"Добрич","obshto",62,"2008"
"Търговище","obshto",53.4,"2008"
"Шумен","obshto",56.5,"2008"
"Югоизточен","obshto",62.3,"2008"
"Бургас","obshto",61.7,"2008"
"Сливен","obshto",59.6,"2008"
"Стара Загора","obshto",64,"2008"
"Ямбол","obshto",64.1,"2008"
"Югозападен","obshto",71,"2008"
"Благоевград","obshto",69.4,"2008"
"Кюстендил","obshto",63.8,"2008"
"Перник","obshto",63.5,"2008"
"София","obshto",66.1,"2008"
"София (столица)","obshto",73.9,"2008"
"Южен централен","obshto",62.4,"2008"
"Кърджали","obshto",52.9,"2008"
"Пазарджик","obshto",63.1,"2008"
"Пловдив","obshto",63.5,"2008"
"Смолян","obshto",64.9,"2008"
"Хасково","obshto",63.4,"2008"
"Общо","myzhe",68.5,"2008"
"Северозападен","myzhe",62.1,"2008"
"Видин","myzhe",58.1,"2008"
"Враца","myzhe",59.7,"2008"
"Ловеч","myzhe",69,"2008"
"Монтана","myzhe",59.1,"2008"
"Плевен","myzhe",63.1,"2008"
"Северен централен","myzhe",63.4,"2008"
"Велико Търново","myzhe",63.1,"2008"
"Габрово","myzhe",73.5,"2008"
"Разград","myzhe",55.8,"2008"
"Русе","myzhe",63.4,"2008"
"Силистра","myzhe",61.9,"2008"
"Североизточен","myzhe",69.2,"2008"
"Варна","myzhe",74.7,"2008"
"Добрич","myzhe",71.2,"2008"
"Търговище","myzhe",57.8,"2008"
"Шумен","myzhe",61.6,"2008"
"Югоизточен","myzhe",68.5,"2008"
"Бургас","myzhe",67.8,"2008"
"Сливен","myzhe",66.5,"2008"
"Стара Загора","myzhe",69.6,"2008"
"Ямбол","myzhe",70.5,"2008"
"Югозападен","myzhe",74.5,"2008"
"Благоевград","myzhe",71.8,"2008"
"Кюстендил","myzhe",63.1,"2008"
"Перник","myzhe",69.2,"2008"
"София","myzhe",71.7,"2008"
"София (столица)","myzhe",77.6,"2008"
"Южен централен","myzhe",66.6,"2008"
"Кърджали","myzhe",52.4,"2008"
"Пазарджик","myzhe",69.9,"2008"
"Пловдив","myzhe",67.7,"2008"
"Смолян","myzhe",67.6,"2008"
"Хасково","myzhe",67.6,"2008"
"Общо","zheni",59.5,"2008"
"Северозападен","zheni",56.4,"2008"
"Видин","zheni",51.6,"2008"
"Враца","zheni",55.1,"2008"
"Ловеч","zheni",60.7,"2008"
"Монтана","zheni",57.3,"2008"
"Плевен","zheni",56.5,"2008"
"Северен централен","zheni",54,"2008"
"Велико Търново","zheni",53.8,"2008"
"Габрово","zheni",65.3,"2008"
"Разград","zheni",43.7,"2008"
"Русе","zheni",57.6,"2008"
"Силистра","zheni",47.2,"2008"
"Североизточен","zheni",54.9,"2008"
"Варна","zheni",58.9,"2008"
"Добрич","zheni",52.8,"2008"
"Търговище","zheni",49.1,"2008"
"Шумен","zheni",51.6,"2008"
"Югоизточен","zheni",56.2,"2008"
"Бургас","zheni",55.6,"2008"
"Сливен","zheni",52.7,"2008"
"Стара Загора","zheni",58.4,"2008"
"Ямбол","zheni",57.6,"2008"
"Югозападен","zheni",67.6,"2008"
"Благоевград","zheni",66.9,"2008"
"Кюстендил","zheni",64.5,"2008"
"Перник","zheni",57.8,"2008"
"София","zheni",60.5,"2008"
"София (столица)","zheni",70.3,"2008"
"Южен централен","zheni",58.4,"2008"
"Кърджали","zheni",53.4,"2008"
"Пазарджик","zheni",56.1,"2008"
"Пловдив","zheni",59.4,"2008"
"Смолян","zheni",62.3,"2008"
"Хасково","zheni",59.3,"2008"
"Общо","obshto",62.6,"2009"
"Северозападен","obshto",57.5,"2009"
"Видин","obshto",50.8,"2009"
"Враца","obshto",56.1,"2009"
"Ловеч","obshto",64.7,"2009"
"Монтана","obshto",58.7,"2009"
"Плевен","obshto",56.7,"2009"
"Северен централен","obshto",57.9,"2009"
"Велико Търново","obshto",55.6,"2009"
"Габрово","obshto",64.2,"2009"
"Разград","obshto",48.8,"2009"
"Русе","obshto",64.5,"2009"
"Силистра","obshto",53.6,"2009"
"Североизточен","obshto",59.2,"2009"
"Варна","obshto",64.4,"2009"
"Добрич","obshto",57.1,"2009"
"Търговище","obshto",55.8,"2009"
"Шумен","obshto",51,"2009"
"Югоизточен","obshto",61.2,"2009"
"Бургас","obshto",61.3,"2009"
"Сливен","obshto",56.3,"2009"
"Стара Загора","obshto",64.2,"2009"
"Ямбол","obshto",60.8,"2009"
"Югозападен","obshto",70.4,"2009"
"Благоевград","obshto",67.8,"2009"
"Кюстендил","obshto",61.5,"2009"
"Перник","obshto",62.4,"2009"
"София","obshto",67.9,"2009"
"София (столица)","obshto",73.3,"2009"
"Южен централен","obshto",60.5,"2009"
"Кърджали","obshto",52.9,"2009"
"Пазарджик","obshto",61.5,"2009"
"Пловдив","obshto",60.7,"2009"
"Смолян","obshto",59.7,"2009"
"Хасково","obshto",63.7,"2009"
"Общо","myzhe",66.9,"2009"
"Северозападен","myzhe",60,"2009"
"Видин","myzhe",55.4,"2009"
"Враца","myzhe",59.2,"2009"
"Ловеч","myzhe",66.5,"2009"
"Монтана","myzhe",58.9,"2009"
"Плевен","myzhe",59.2,"2009"
"Северен централен","myzhe",63.3,"2009"
"Велико Търново","myzhe",60.5,"2009"
"Габрово","myzhe",67.3,"2009"
"Разград","myzhe",55.2,"2009"
"Русе","myzhe",69.2,"2009"
"Силистра","myzhe",62.3,"2009"
"Североизточен","myzhe",64.7,"2009"
"Варна","myzhe",71.7,"2009"
"Добрич","myzhe",62.5,"2009"
"Търговище","myzhe",58.3,"2009"
"Шумен","myzhe",54.5,"2009"
"Югоизточен","myzhe",67.5,"2009"
"Бургас","myzhe",68,"2009"
"Сливен","myzhe",64.4,"2009"
"Стара Загора","myzhe",69.4,"2009"
"Ямбол","myzhe",66.3,"2009"
"Югозападен","myzhe",73.6,"2009"
"Благоевград","myzhe",70,"2009"
"Кюстендил","myzhe",60.9,"2009"
"Перник","myzhe",65.9,"2009"
"София","myzhe",73.5,"2009"
"София (столица)","myzhe",76.8,"2009"
"Южен централен","myzhe",64.6,"2009"
"Кърджали","myzhe",53.7,"2009"
"Пазарджик","myzhe",66.6,"2009"
"Пловдив","myzhe",66.3,"2009"
"Смолян","myzhe",59.5,"2009"
"Хасково","myzhe",67.1,"2009"
"Общо","zheni",58.3,"2009"
"Северозападен","zheni",55.1,"2009"
"Видин","zheni",46.3,"2009"
"Враца","zheni",52.9,"2009"
"Ловеч","zheni",62.8,"2009"
"Монтана","zheni",58.4,"2009"
"Плевен","zheni",54.1,"2009"
"Северен централен","zheni",52.7,"2009"
"Велико Търново","zheni",50.9,"2009"
"Габрово","zheni",61.1,"2009"
"Разград","zheni",42.7,"2009"
"Русе","zheni",60,"2009"
"Силистра","zheni",45,"2009"
"Североизточен","zheni",53.8,"2009"
"Варна","zheni",57.3,"2009"
"Добрич","zheni",51.8,"2009"
"Търговище","zheni",53.5,"2009"
"Шумен","zheni",47.4,"2009"
"Югоизточен","zheni",54.9,"2009"
"Бургас","zheni",54.7,"2009"
"Сливен","zheni",48.1,"2009"
"Стара Загора","zheni",59,"2009"
"Ямбол","zheni",55.1,"2009"
"Югозападен","zheni",67.2,"2009"
"Благоевград","zheni",65.5,"2009"
"Кюстендил","zheni",62,"2009"
"Перник","zheni",58.9,"2009"
"София","zheni",62.2,"2009"
"София (столица)","zheni",69.9,"2009"
"Южен централен","zheni",56.4,"2009"
"Кърджали","zheni",52,"2009"
"Пазарджик","zheni",56.5,"2009"
"Пловдив","zheni",55.4,"2009"
"Смолян","zheni",59.8,"2009"
"Хасково","zheni",60.4,"2009"
"Общо","obshto",59.7,"2010"
"Северозападен","obshto",53.8,"2010"
"Видин","obshto",48.7,"2010"
"Враца","obshto",53.1,"2010"
"Ловеч","obshto",59.8,"2010"
"Монтана","obshto",55.4,"2010"
"Плевен","obshto",52.4,"2010"
"Северен централен","obshto",54.8,"2010"
"Велико Търново","obshto",51.4,"2010"
"Габрово","obshto",61.6,"2010"
"Разград","obshto",46.4,"2010"
"Русе","obshto",62,"2010"
"Силистра","obshto",50,"2010"
"Североизточен","obshto",56.7,"2010"
"Варна","obshto",60.8,"2010"
"Добрич","obshto",55.2,"2010"
"Търговище","obshto",54.2,"2010"
"Шумен","obshto",50.1,"2010"
"Югоизточен","obshto",58.5,"2010"
"Бургас","obshto",57.2,"2010"
"Сливен","obshto",54,"2010"
"Стара Загора","obshto",63.5,"2010"
"Ямбол","obshto",56.9,"2010"
"Югозападен","obshto",67.6,"2010"
"Благоевград","obshto",64.9,"2010"
"Кюстендил","obshto",60.8,"2010"
"Перник","obshto",61.9,"2010"
"София","obshto",62.5,"2010"
"София (столица)","obshto",70.6,"2010"
"Южен централен","obshto",57.4,"2010"
"Кърджали","obshto",46.3,"2010"
"Пазарджик","obshto",57.8,"2010"
"Пловдив","obshto",59.4,"2010"
"Смолян","obshto",53.3,"2010"
"Хасково","obshto",60.5,"2010"
"Общо","myzhe",63,"2010"
"Северозападен","myzhe",55.9,"2010"
"Видин","myzhe",51.7,"2010"
"Враца","myzhe",54.9,"2010"
"Ловеч","myzhe",60.8,"2010"
"Монтана","myzhe",56.8,"2010"
"Плевен","myzhe",55.1,"2010"
"Северен централен","myzhe",59,"2010"
"Велико Търново","myzhe",54.8,"2010"
"Габрово","myzhe",65.3,"2010"
"Разград","myzhe",51.8,"2010"
"Русе","myzhe",64.7,"2010"
"Силистра","myzhe",57.9,"2010"
"Североизточен","myzhe",61.1,"2010"
"Варна","myzhe",67,"2010"
"Добрич","myzhe",59.1,"2010"
"Търговище","myzhe",56.5,"2010"
"Шумен","myzhe",52.1,"2010"
"Югоизточен","myzhe",63.4,"2010"
"Бургас","myzhe",62.7,"2010"
"Сливен","myzhe",60,"2010"
"Стара Загора","myzhe",67.4,"2010"
"Ямбол","myzhe",60.3,"2010"
"Югозападен","myzhe",70,"2010"
"Благоевград","myzhe",65.7,"2010"
"Кюстендил","myzhe",61.9,"2010"
"Перник","myzhe",63.7,"2010"
"София","myzhe",66.2,"2010"
"София (столица)","myzhe",73.6,"2010"
"Южен централен","myzhe",60.5,"2010"
"Кърджали","myzhe",44.1,"2010"
"Пазарджик","myzhe",62.6,"2010"
"Пловдив","myzhe",63.2,"2010"
"Смолян","myzhe",53.5,"2010"
"Хасково","myzhe",64.1,"2010"
"Общо","zheni",56.4,"2010"
"Северозападен","zheni",51.8,"2010"
"Видин","zheni",45.7,"2010"
"Враца","zheni",51.2,"2010"
"Ловеч","zheni",58.9,"2010"
"Монтана","zheni",54,"2010"
"Плевен","zheni",49.7,"2010"
"Северен централен","zheni",50.7,"2010"
"Велико Търново","zheni",48.2,"2010"
"Габрово","zheni",58,"2010"
"Разград","zheni",40.9,"2010"
"Русе","zheni",59.4,"2010"
"Силистра","zheni",42.5,"2010"
"Североизточен","zheni",52.3,"2010"
"Варна","zheni",54.7,"2010"
"Добрич","zheni",51.3,"2010"
"Търговище","zheni",51.8,"2010"
"Шумен","zheni",48,"2010"
"Югоизточен","zheni",53.6,"2010"
"Бургас","zheni",51.7,"2010"
"Сливен","zheni",47.8,"2010"
"Стара Загора","zheni",59.5,"2010"
"Ямбол","zheni",53.4,"2010"
"Югозападен","zheni",65.2,"2010"
"Благоевград","zheni",64.1,"2010"
"Кюстендил","zheni",59.6,"2010"
"Перник","zheni",60.3,"2010"
"София","zheni",58.9,"2010"
"София (столица)","zheni",67.7,"2010"
"Южен централен","zheni",54.3,"2010"
"Кърджали","zheni",48.5,"2010"
"Пазарджик","zheni",52.8,"2010"
"Пловдив","zheni",55.5,"2010"
"Смолян","zheni",53.1,"2010"
"Хасково","zheni",56.9,"2010"
"Общо","obshto",58.4,"2011"
"Северозападен","obshto",53.6,"2011"
"Видин","obshto",50,"2011"
"Враца","obshto",53.7,"2011"
"Ловеч","obshto",55.6,"2011"
"Монтана","obshto",52.9,"2011"
"Плевен","obshto",54.1,"2011"
"Северен централен","obshto",54.9,"2011"
"Велико Търново","obshto",54.3,"2011"
"Габрово","obshto",59.6,"2011"
"Разград","obshto",50.2,"2011"
"Русе","obshto",58,"2011"
"Силистра","obshto",50.1,"2011"
"Североизточен","obshto",55.8,"2011"
"Варна","obshto",56.6,"2011"
"Добрич","obshto",54.4,"2011"
"Търговище","obshto",57.6,"2011"
"Шумен","obshto",53.9,"2011"
"Югоизточен","obshto",57.7,"2011"
"Бургас","obshto",55.3,"2011"
"Сливен","obshto",53.7,"2011"
"Стара Загора","obshto",62.4,"2011"
"Ямбол","obshto",59.9,"2011"
"Югозападен","obshto",65,"2011"
"Благоевград","obshto",64.6,"2011"
"Кюстендил","obshto",58.1,"2011"
"Перник","obshto",61.1,"2011"
"София","obshto",59.6,"2011"
"София (столица)","obshto",67.2,"2011"
"Южен централен","obshto",55.5,"2011"
"Кърджали","obshto",51.5,"2011"
"Пазарджик","obshto",54,"2011"
"Пловдив","obshto",58.4,"2011"
"Смолян","obshto",50.4,"2011"
"Хасково","obshto",54.3,"2011"
"Общо","myzhe",61.2,"2011"
"Северозападен","myzhe",55.5,"2011"
"Видин","myzhe",52.2,"2011"
"Враца","myzhe",55.5,"2011"
"Ловеч","myzhe",55.1,"2011"
"Монтана","myzhe",54.6,"2011"
"Плевен","myzhe",57.5,"2011"
"Северен централен","myzhe",57.7,"2011"
"Велико Търново","myzhe",55.9,"2011"
"Габрово","myzhe",61.3,"2011"
"Разград","myzhe",56.6,"2011"
"Русе","myzhe",59.2,"2011"
"Силистра","myzhe",55.9,"2011"
"Североизточен","myzhe",60.5,"2011"
"Варна","myzhe",61.1,"2011"
"Добрич","myzhe",59.8,"2011"
