"region","grupa","koef_zaetost","godina"
"Търговище","myzhe",63.1,"2011"
"Шумен","myzhe",57.9,"2011"
"Югоизточен","myzhe",61.1,"2011"
"Бургас","myzhe",58.7,"2011"
"Сливен","myzhe",58,"2011"
"Стара Загора","myzhe",65,"2011"
"Ямбол","myzhe",63.8,"2011"
"Югозападен","myzhe",67.2,"2011"
"Благоевград","myzhe",65.9,"2011"
"Кюстендил","myzhe",57.1,"2011"
"Перник","myzhe",63.2,"2011"
"София","myzhe",63.2,"2011"
"София (столица)","myzhe",69.6,"2011"
"Южен централен","myzhe",58.3,"2011"
"Кърджали","myzhe",51.6,"2011"
"Пазарджик","myzhe",58.8,"2011"
"Пловдив","myzhe",61.2,"2011"
"Смолян","myzhe",51.6,"2011"
"Хасково","myzhe",57.2,"2011"
"Общо","zheni",55.6,"2011"
"Северозападен","zheni",51.5,"2011"
"Видин","zheni",47.8,"2011"
"Враца","zheni",51.8,"2011"
"Ловеч","zheni",56.1,"2011"
"Монтана","zheni",51,"2011"
"Плевен","zheni",50.5,"2011"
"Северен централен","zheni",52,"2011"
"Велико Търново","zheni",52.8,"2011"
"Габрово","zheni",57.9,"2011"
"Разград","zheni",43.6,"2011"
"Русе","zheni",56.7,"2011"
"Силистра","zheni",43.9,"2011"
"Североизточен","zheni",51,"2011"
"Варна","zheni",52,"2011"
"Добрич","zheni",48.9,"2011"
"Търговище","zheni",51.9,"2011"
"Шумен","zheni",49.8,"2011"
"Югоизточен","zheni",54.3,"2011"
"Бургас","zheni",51.8,"2011"
"Сливен","zheni",49.3,"2011"
"Стара Загора","zheni",59.7,"2011"
"Ямбол","zheni",55.9,"2011"
"Югозападен","zheni",63,"2011"
"Благоевград","zheni",63.2,"2011"
"Кюстендил","zheni",59.3,"2011"
"Перник","zheni",58.8,"2011"
"София","zheni",55.8,"2011"
"София (столица)","zheni",64.8,"2011"
"Южен централен","zheni",52.8,"2011"
"Кърджали","zheni",51.4,"2011"
"Пазарджик","zheni",49.1,"2011"
"Пловдив","zheni",55.6,"2011"
"Смолян","zheni",49.2,"2011"
"Хасково","zheni",51.3,"2011"
"Общо","obshto",58.8,"2012"
"Северозападен","obshto",53.6,"2012"
"Видин","obshto",52.2,"2012"
"Враца","obshto",52.4,"2012"
"Ловеч","obshto",52.9,"2012"
"Монтана","obshto",53.3,"2012"
"Плевен","obshto",55.5,"2012"
"Северен централен","obshto",55.5,"2012"
"Велико Търново","obshto",55,"2012"
"Габрово","obshto",61.4,"2012"
"Разград","obshto",50.7,"2012"
"Русе","obshto",57.8,"2012"
"Силистра","obshto",50.9,"2012"
"Североизточен","obshto",55,"2012"
"Варна","obshto",54.1,"2012"
"Добрич","obshto",58.3,"2012"
"Търговище","obshto",53.9,"2012"
"Шумен","obshto",54.9,"2012"
"Югоизточен","obshto",58.5,"2012"
"Бургас","obshto",57.3,"2012"
"Сливен","obshto",51.8,"2012"
"Стара Загора","obshto",62.8,"2012"
"Ямбол","obshto",61.4,"2012"
"Югозападен","obshto",65.1,"2012"
"Благоевград","obshto",65.4,"2012"
"Кюстендил","obshto",57.9,"2012"
"Перник","obshto",61.7,"2012"
"София","obshto",59.6,"2012"
"София (столица)","obshto",66.9,"2012"
"Южен централен","obshto",56.9,"2012"
"Кърджали","obshto",55.1,"2012"
"Пазарджик","obshto",52.4,"2012"
"Пловдив","obshto",60,"2012"
"Смолян","obshto",55.3,"2012"
"Хасково","obshto",55,"2012"
"Общо","myzhe",61.3,"2012"
"Северозападен","myzhe",55.7,"2012"
"Видин","myzhe",57.9,"2012"
"Враца","myzhe",52.7,"2012"
"Ловеч","myzhe",51.1,"2012"
"Монтана","myzhe",54.9,"2012"
"Плевен","myzhe",59.7,"2012"
"Северен централен","myzhe",57.8,"2012"
"Велико Търново","myzhe",56.9,"2012"
"Габрово","myzhe",63.6,"2012"
"Разград","myzhe",55.4,"2012"
"Русе","myzhe",59,"2012"
"Силистра","myzhe",53.8,"2012"
"Североизточен","myzhe",58.6,"2012"
"Варна","myzhe",57.8,"2012"
"Добрич","myzhe",62.4,"2012"
"Търговище","myzhe",58.5,"2012"
"Шумен","myzhe",56.8,"2012"
"Югоизточен","myzhe",61.5,"2012"
"Бургас","myzhe",61.3,"2012"
"Сливен","myzhe",55.9,"2012"
"Стара Загора","myzhe",64.8,"2012"
"Ямбол","myzhe",62.3,"2012"
"Югозападен","myzhe",67.8,"2012"
"Благоевград","myzhe",67.1,"2012"
"Кюстендил","myzhe",55.7,"2012"
"Перник","myzhe",62.6,"2012"
"София","myzhe",63.5,"2012"
"София (столица)","myzhe",70.4,"2012"
"Южен централен","myzhe",58.4,"2012"
"Кърджали","myzhe",56.4,"2012"
"Пазарджик","myzhe",54.2,"2012"
"Пловдив","myzhe",61.7,"2012"
"Смолян","myzhe",55.4,"2012"
"Хасково","myzhe",56.7,"2012"
"Общо","zheni",56.3,"2012"
"Северозападен","zheni",51.4,"2012"
"Видин","zheni",46.1,"2012"
"Враца","zheni",52.1,"2012"
"Ловеч","zheni",54.7,"2012"
"Монтана","zheni",51.5,"2012"
"Плевен","zheni",51.1,"2012"
"Северен централен","zheni",53.1,"2012"
"Велико Търново","zheni",53.2,"2012"
"Габрово","zheni",59.1,"2012"
"Разград","zheni",45.8,"2012"
"Русе","zheni",56.5,"2012"
"Силистра","zheni",47.8,"2012"
"Североизточен","zheni",51.4,"2012"
"Варна","zheni",50.3,"2012"
"Добрич","zheni",54.1,"2012"
"Търговище","zheni",49.1,"2012"
"Шумен","zheni",52.9,"2012"
"Югоизточен","zheni",55.3,"2012"
"Бургас","zheni",53.2,"2012"
"Сливен","zheni",47.5,"2012"
"Стара Загора","zheni",60.7,"2012"
"Ямбол","zheni",60.4,"2012"
"Югозападен","zheni",62.4,"2012"
"Благоевград","zheni",63.6,"2012"
"Кюстендил","zheni",60.2,"2012"
"Перник","zheni",60.8,"2012"
"София","zheni",55.4,"2012"
"София (столица)","zheni",63.6,"2012"
"Южен централен","zheni",55.3,"2012"
"Кърджали","zheni",53.7,"2012"
"Пазарджик","zheni",50.6,"2012"
"Пловдив","zheni",58.3,"2012"
"Смолян","zheni",55.1,"2012"
"Хасково","zheni",53.3,"2012"
"Общо","obshto",59.5,"2013"
"Северозападен","obshto",54.6,"2013"
"Видин","obshto",55.6,"2013"
"Враца","obshto",52.1,"2013"
"Ловеч","obshto",52.2,"2013"
"Монтана","obshto",53,"2013"
"Плевен","obshto",58.1,"2013"
"Северен централен","obshto",55.5,"2013"
"Велико Търново","obshto",54.8,"2013"
"Габрово","obshto",65.8,"2013"
"Разград","obshto",50.2,"2013"
"Русе","obshto",57.7,"2013"
"Силистра","obshto",48.2,"2013"
"Североизточен","obshto",56.5,"2013"
"Варна","obshto",57.8,"2013"
"Добрич","obshto",59.4,"2013"
"Търговище","obshto",48.7,"2013"
"Шумен","obshto",55.1,"2013"
"Югоизточен","obshto",57.5,"2013"
"Бургас","obshto",58.9,"2013"
"Сливен","obshto",51.8,"2013"
"Стара Загора","obshto",58,"2013"
"Ямбол","obshto",59.9,"2013"
"Югозападен","obshto",65,"2013"
"Благоевград","obshto",63.3,"2013"
"Кюстендил","obshto",57.4,"2013"
"Перник","obshto",60.4,"2013"
"София","obshto",59.5,"2013"
"София (столица)","obshto",67.5,"2013"
"Южен централен","obshto",59.4,"2013"
"Кърджали","obshto",59,"2013"
"Пазарджик","obshto",56,"2013"
"Пловдив","obshto",61.2,"2013"
"Смолян","obshto",59.3,"2013"
"Хасково","obshto",58.4,"2013"
"Общо","myzhe",62.1,"2013"
"Северозападен","myzhe",56,"2013"
"Видин","myzhe",57.9,"2013"
"Враца","myzhe",53.6,"2013"
"Ловеч","myzhe",52.3,"2013"
"Монтана","myzhe",54.6,"2013"
"Плевен","myzhe",59.8,"2013"
"Северен централен","myzhe",58.6,"2013"
"Велико Търново","myzhe",57.5,"2013"
"Габрово","myzhe",68.6,"2013"
"Разград","myzhe",53.5,"2013"
"Русе","myzhe",60.1,"2013"
"Силистра","myzhe",53.7,"2013"
"Североизточен","myzhe",60.3,"2013"
"Варна","myzhe",62.9,"2013"
"Добрич","myzhe",61.6,"2013"
"Търговище","myzhe",51.1,"2013"
"Шумен","myzhe",57.7,"2013"
"Югоизточен","myzhe",61.5,"2013"
"Бургас","myzhe",63.4,"2013"
"Сливен","myzhe",55,"2013"
"Стара Загора","myzhe",62.6,"2013"
"Ямбол","myzhe",62.1,"2013"
"Югозападен","myzhe",67.3,"2013"
"Благоевград","myzhe",63.7,"2013"
"Кюстендил","myzhe",55.7,"2013"
"Перник","myzhe",62.5,"2013"
"София","myzhe",65,"2013"
"София (столица)","myzhe",70.1,"2013"
"Южен централен","myzhe",61.2,"2013"
"Кърджали","myzhe",59.7,"2013"
"Пазарджик","myzhe",59.2,"2013"
"Пловдив","myzhe",63.1,"2013"
"Смолян","myzhe",58.2,"2013"
"Хасково","myzhe",60.8,"2013"
"Общо","zheni",56.8,"2013"
"Северозападен","zheni",53.1,"2013"
"Видин","zheni",53.2,"2013"
"Враца","zheni",50.6,"2013"
"Ловеч","zheni",52.1,"2013"
"Монтана","zheni",51.3,"2013"
"Плевен","zheni",56.2,"2013"
"Северен централен","zheni",52.3,"2013"
"Велико Търново","zheni",52.1,"2013"
"Габрово","zheni",62.8,"2013"
"Разград","zheni",46.7,"2013"
"Русе","zheni",55.3,"2013"
"Силистра","zheni",42.4,"2013"
"Североизточен","zheni",52.7,"2013"
"Варна","zheni",52.6,"2013"
"Добрич","zheni",57.2,"2013"
"Търговище","zheni",46.2,"2013"
"Шумен","zheni",52.5,"2013"
"Югоизточен","zheni",53.4,"2013"
"Бургас","zheni",54.3,"2013"
"Сливен","zheni",48.5,"2013"
"Стара Загора","zheni",53.4,"2013"
"Ямбол","zheni",57.6,"2013"
"Югозападен","zheni",62.8,"2013"
"Благоевград","zheni",62.9,"2013"
"Кюстендил","zheni",59.2,"2013"
"Перник","zheni",58.2,"2013"
"София","zheni",53.7,"2013"
"София (столица)","zheni",64.9,"2013"
"Южен централен","zheni",57.5,"2013"
"Кърджали","zheni",58.2,"2013"
"Пазарджик","zheni",52.7,"2013"
"Пловдив","zheni",59.2,"2013"
"Смолян","zheni",60.4,"2013"
"Хасково","zheni",55.8,"2013"
"Общо","obshto",61,"2014"
"Северозападен","obshto",55,"2014"
"Видин","obshto",55.3,"2014"
"Враца","obshto",52.9,"2014"
"Ловеч","obshto",51,"2014"
"Монтана","obshto",55.9,"2014"
"Плевен","obshto",58,"2014"
"Северен централен","obshto",57.4,"2014"
"Велико Търново","obshto",60,"2014"
"Габрово","obshto",66.1,"2014"
"Разград","obshto",52.8,"2014"
"Русе","obshto",56.6,"2014"
"Силистра","obshto",50,"2014"
"Североизточен","obshto",59.8,"2014"
"Варна","obshto",61.8,"2014"
"Добрич","obshto",61.2,"2014"
"Търговище","obshto",51.2,"2014"
"Шумен","obshto",58.7,"2014"
"Югоизточен","obshto",58,"2014"
"Бургас","obshto",60.3,"2014"
"Сливен","obshto",52.4,"2014"
"Стара Загора","obshto",58,"2014"
"Ямбол","obshto",58.8,"2014"
"Югозападен","obshto",66.1,"2014"
"Благоевград","obshto",62.6,"2014"
"Кюстендил","obshto",57.4,"2014"
"Перник","obshto",61.6,"2014"
"София","obshto",59.6,"2014"
"София (столица)","obshto",69.2,"2014"
"Южен централен","obshto",61.5,"2014"
"Кърджали","obshto",61.1,"2014"
"Пазарджик","obshto",59.6,"2014"
"Пловдив","obshto",62.2,"2014"
"Смолян","obshto",61.2,"2014"
"Хасково","obshto",61.9,"2014"
"Общо","myzhe",63.9,"2014"
"Северозападен","myzhe",55.4,"2014"
"Видин","myzhe",55,"2014"
"Враца","myzhe",54.6,"2014"
"Ловеч","myzhe",50.4,"2014"
"Монтана","myzhe",56.4,"2014"
"Плевен","myzhe",58,"2014"
"Северен централен","myzhe",61,"2014"
"Велико Търново","myzhe",62.9,"2014"
"Габрово","myzhe",69.3,"2014"
"Разград","myzhe",58.1,"2014"
"Русе","myzhe",58.4,"2014"
"Силистра","myzhe",56.8,"2014"
"Североизточен","myzhe",64,"2014"
"Варна","myzhe",67.7,"2014"
"Добрич","myzhe",63.8,"2014"
"Търговище","myzhe",52.4,"2014"
"Шумен","myzhe",61.9,"2014"
"Югоизточен","myzhe",63.1,"2014"
"Бургас","myzhe",67,"2014"
"Сливен","myzhe",54.1,"2014"
"Стара Загора","myzhe",63.4,"2014"
"Ямбол","myzhe",62.9,"2014"
"Югозападен","myzhe",67.7,"2014"
"Благоевград","myzhe",61.8,"2014"
"Кюстендил","myzhe",56.3,"2014"
"Перник","myzhe",62.9,"2014"
"София","myzhe",65.3,"2014"
"София (столица)","myzhe",71,"2014"
"Южен централен","myzhe",64.7,"2014"
"Кърджали","myzhe",61.3,"2014"
"Пазарджик","myzhe",66.1,"2014"
"Пловдив","myzhe",64.9,"2014"
"Смолян","myzhe",63.2,"2014"
"Хасково","myzhe",65.9,"2014"
"Общо","zheni",58.2,"2014"
"Северозападен","zheni",54.7,"2014"
"Видин","zheni",55.6,"2014"
"Враца","zheni",51.1,"2014"
"Ловеч","zheni",51.5,"2014"
"Монтана","zheni",55.4,"2014"
"Плевен","zheni",58.1,"2014"
"Северен централен","zheni",53.8,"2014"
"Велико Търново","zheni",57,"2014"
"Габрово","zheni",62.8,"2014"
"Разград","zheni",47.3,"2014"
"Русе","zheni",54.7,"2014"
"Силистра","zheni",42.9,"2014"
"Североизточен","zheni",55.6,"2014"
"Варна","zheni",55.9,"2014"
"Добрич","zheni",58.5,"2014"
"Търговище","zheni",49.9,"2014"
"Шумен","zheni",55.5,"2014"
"Югоизточен","zheni",52.9,"2014"
"Бургас","zheni",53.6,"2014"
"Сливен","zheni",50.7,"2014"
"Стара Загора","zheni",52.6,"2014"
"Ямбол","zheni",54.5,"2014"
"Югозападен","zheni",64.6,"2014"
"Благоевград","zheni",63.4,"2014"
"Кюстендил","zheni",58.6,"2014"
"Перник","zheni",60.3,"2014"
"София","zheni",53.6,"2014"
"София (столица)","zheni",67.5,"2014"
"Южен централен","zheni",58.1,"2014"
"Кърджали","zheni",61,"2014"
"Пазарджик","zheni",52.9,"2014"
"Пловдив","zheni",59.5,"2014"
"Смолян","zheni",59.2,"2014"
"Хасково","zheni",57.8,"2014"
